Label_location,Location,Date,Sprayed,Amount ,Units,Repeat,,,
Bottom round A,Greenhouse 1,04/03/2022,Rigel WP (17347),3.000,kg,1,,,
Bottom round A,Greenhouse 1,19/03/2022,Switch (15129),1.000,kg,1,,,
Bottom round A,Greenhouse 1,23/03/2022,Batavia (18449),1.000,L,1,,,
Bottom round A,Greenhouse 1,05/04/2022,Signum (11450),1.800,kg,1,,,
Bottom round A,Greenhouse 1,21/04/2022,Frupica SC (12067),0.900,L,1,,,
Bottom round A,Greenhouse 1,27/04/2022,Systhane 20 EW (19160),0.300,L,1,,,
Bottom round A,Greenhouse 1,08/05/2022,Karma (16363),2.500,kg,1,,,
Bottom round A,Greenhouse 1,13/05/2022,Sonata (19161),10.000,L,1,,,
Bottom round A,Greenhouse 1,20/05/2022,Charm (18396),0.600,L,1,,,
Bottom round A,Greenhouse 1,25/05/2022,Karma (16363),2.500,kg,2,,,
Bottom round A,Greenhouse 1,03/06/2022,Charm (18396),0.600,L,2,,,
Bottom round A,Greenhouse 1,20/06/2022,Stroby WG (17316),0.300,kg,1,,,
Bottom round A,Greenhouse 1,20/06/2022,Switch (15129),1.000,kg,2,,,
Bottom round A,Greenhouse 1,26/06/2022,Signum (11450),1.800,kg,2,,,
Bottom round A,Greenhouse 1,05/07/2022,Teldor (11229),1.000,kg,1,,,
Bottom round A,Greenhouse 1,05/07/2022,Talius (12752),0.190,L,1,,,
Bottom round A,Greenhouse 1,06/07/2022,Topas (16765),0.500,L,1,,,
Bottom round A,Greenhouse 1,12/07/2022,Serenade ASO (16139),8.000,L,1,,,
Bottom round A,Greenhouse 1,12/07/2022,Nimrod (18522),1.000,L,1,,,
Bottom round A,Greenhouse 1,21/07/2022,Topas (16765),0.500,L,2,,,
Bottom round A,Greenhouse 1,28/07/2022,Luna Sensation (15793),0.800,L,1,,,
Bottom round A,Greenhouse 1,05/08/2022,Sonata (19161),10.000,L,2,,,
Bottom round A,Greenhouse 1,13/08/2022,Charm (18396),0.600,L,3,,,
Bottom round A,Greenhouse 1,20/08/2022,Sonata (19161),10.000,L,3,,,
Bottom round B,Greenhouse 2,05/04/2022,Signum (11450),1.800,kg,1,,,
Bottom round B,Greenhouse 2,19/04/2022,Talius (12752),0.190,L,1,,,
Bottom round B,Greenhouse 2,29/04/2022,Systhane 20 EW (19160),0.300,L,1,,,
Bottom round B,Greenhouse 2,06/05/2022,Takumi SC (16000),0.150,L,1,,,
Bottom round B,Greenhouse 2,13/05/2022,Sonata (19161),10.000,L,1,,,
Bottom round B,Greenhouse 2,20/05/2022,Charm (18396),0.600,L,1,,,
Bottom round B,Greenhouse 2,24/05/2022,Karma (16363),2.500,kg,1,,,
Bottom round B,Greenhouse 2,02/06/2022,Nimrod (18522),1.000,L,1,,,
Bottom round B,Greenhouse 2,02/06/2022,Serenade ASO (16139),8.000,L,1,,,
Bottom round B,Greenhouse 2,11/06/2022,Justice (12835),0.190,L,1,,,
Bottom round B,Greenhouse 2,21/06/2022,Amistar Top (18050),1.000,L,1,,,
Bottom round B,Greenhouse 2,28/06/2022,Karma (16363),3.000,kg,2,,,
Bottom round B,Greenhouse 2,04/07/2022,Charm (18396),0.600,L,2,,,
Bottom round B,Greenhouse 2,06/07/2022,Sonata (19161),10.000,L,2,,,
Bottom round B,Greenhouse 2,06/07/2022,Amylo X WG (17978),2.500,kg,1,,,
Bottom round B,Greenhouse 2,08/07/2022,Karma (16363),3.000,kg,3,,,
Bottom round B,Greenhouse 2,14/07/2022,Takumi SC (16000),0.150,L,2,,,
Bottom round B,Greenhouse 2,21/07/2022,Sonata (19161),10.000,L,3,,,
Bottom round B,Greenhouse 2,27/07/2022,Amylo X WG (17978),2.500,kg,2,,,
Bottom round B,Greenhouse 2,03/08/2022,Charm (18396),0.600,L,3,,,
Field,Field,05/05/2022,Switch (15129),1.250,kg,1,,,
Field,Field,12/05/2022,Topas (16765),0.625,L,1,,,
Field,Field,12/05/2022,Teldor (11229),1.875,kg,1,,,
Field,Field,23/05/2022,Switch (15129),1.250,kg,2,,,
Field,Field,23/05/2022,Topas (16765),0.625,L,2,,,
Field,Field,30/05/2022,Frupica SC (12067),1.125,L,1,,,
Field,Field,30/05/2022,Amistar (18039),1.250,L,1,,,
Field,Field,03/06/2022,Signum (11450),2.250,kg,1,,,
Field,Field,03/06/2022,Takumi SC (16000),0.188,L,1,,,
Field,Field,10/06/2022,Scala (15222),2.500,L,1,,,
Field,Field,16/06/2022,Amistar (18039),1.250,L,1,,,
Field,Field,16/06/2022,Frupica SC (12067),1.125,L,2,,,
,,,,,,,,,
,,,,,,,,,